Name_ZhT;Name_Prov;Capital_ZhT;Capital_Py;Long_X;Lat_Y;Prov_1947-1949
安東;Andong;通化;Tonghua;41.74027039378096;125.94451372783386;Andong
安徽;Anhui;安慶;Anqing;30.512295;117.034676;Anhui
察哈爾;Chahaer;萬全;Wanquan;40.7781712599319;114.89020756150896;Chahaer
福建;Fujian;福州;Fuzhou;26.073954;119.321577;Fujian
甘肅;Gansu;蘭州;Lanzhou;36.047031;103.847138;Gansu
廣東;Guangdong;廣州;Guangzhou;23.134624;113.256066;Guangdong
廣西;Guangxi;桂林;Guilin;25.28006;110.286262;Guangxi
貴州;Guizhou;貴陽;Guiyang;26.579306;106.707809;Guizhou
河北;Hebei;北京;Beijing;39.931427;116.368004;Hebei
黑龍江;Heilongjiang;齊齊哈爾;Qiqihaer;47.344507;123.962692;Heilongjiang
合江;Hejiang;佳木斯;Jiamusi;46.804788523680045;130.31844970181012;Hejiang
河南;Henan;開封;Kaifeng;34.785477;114.34333;Henan
湖北;Hubei;漢陽;Hanyang;30.560694;114.305727;Hubei
湖南;Hunan;長沙;Zhangsha;28.198198;112.978134;Hunan
江蘇;Jiangsu;蘇州;Suzhou;31.31271;120.618622;Jiangsu
江西;Jiangxi;南昌;Nanchang;28.674896;115.89772;Jiangxi
吉林;Jilin;吉林;Jilin;43.90713;126.565066;Jilin
遼北;Liaobei;四平;Siping;43.17217171300516;124.34888768212029;Liaobei
遼東;Liaodong;安東;Andong;40.00571349596628;124.35463288068728;Liaodong
嫩江;Nenjiang;齊齊哈爾;Qiqihar;47.35875674102026;123.91777091722427;Nenjiang
寧夏;Ningxia;寧夏;Ningxia;38.547044421483754;106.33835118549948;Ningxia
青海;Qinghai;西寧;Xining;36.62932689416539;101.77974132627885;Qinghai
熱河;Rehe (Jehol);承德;Chengde;40.95573886874347;117.96329464169193;Rehe
陝西;Shaanxi;西安;Xian;34.266605;108.944206;Shaanxi
山東;Shandong;濟南;Jinan;36.650131;117.001488;Shandong
山西;Shanxi;太原;Taiyuan;37.873753;112.564827;Shanxi
四川;Sichuan;成都;Chengdu;30.649031;104.07659;Sichuan
松江;Songjiang;牡丹江;Mudanjiang;44.55581842223278;129.6345292500107;Songjiang
綏遠;Suiyuan;歸綏;Guisui;40.852765686066455;111.74811771872825;Suiyuan
台灣;Taiwan;台北;Taibei;25.04577981327358;121.56473651504703;Taiwan
西康;Xikang;康定;Kangding;30.052894670819217;101.97023078163734;Xikang
興安;Xing'an;海拉爾;Hailar;49.22871515645098;119.73863738827862;Xing'an
新疆;Xinjiang;烏魯木齊;Wulumuqi;43.790722;87.604065;Xinjiang
西藏;Xizang;拉薩;Lahsa;29.66664283152199;91.17484436267952;Xizang
雲南;Yunnan;昆明;Kunming;25.045914;102.71035;Yunnan
浙江;Zhejiang;杭州;Hangzhou;30.294125;120.168625;Zhejiang
