Discipline_ZhS_Srce,Discipline_ZhT_Srce,Discipline_Level2,Discipline_Level2_Strd,Discipline_Level1,Discipline_Level1_Strd,Discipline_Level0,Discipline_Level0_ZhT,Level1_code,,,,
铁道管理,鐵道管理,Business Administration,工商管理學,Social Sciences,社會科學,Humanities and Social Sciences,人文社會科學,SSC,,,,
铁道管理学系,鐵道管理學系,Business Administration,工商管理學,Social Sciences,社會科學,Humanities and Social Sciences,人文社會科學,SSC,,,,
铁道管理学院,鐵道管理學院,Business Administration,工商管理學,Social Sciences,社會科學,Humanities and Social Sciences,人文社會科學,SSC,,,,
电信管理,電信管理,Business Administration,工商管理學,Social Sciences,社會科學,Humanities and Social Sciences,人文社會科學,SSC,,,,
电信管理系,電信管理系,Business Administration,工商管理學,Social Sciences,社會科學,Humanities and Social Sciences,人文社會科學,SSC,,,,
电器管理,電器管理,Business Administration,工商管理學,Social Sciences,社會科學,Humanities and Social Sciences,人文社會科學,SSC,,,,
陶业工程,陶業工程,Ceramic Engineering,陶業工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化学工程,化學工程,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化学工程学,化學工程學,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化学工程学系,化學工程學系,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化学工程学系  工业分析专业,化學工程學系  工業分析專業,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化学工程学系 化学专业,化學工程學系 化學專業,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化学工程学系 燃料专业,化學工程學系 燃料專業,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化学工程学系一年级,化學工程學系一年級,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化学工程学系二年级,化學工程學系二年級,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化学工程科,化學工程科,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化学工程科一年级,化學工程科一年級,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化学工程科三年级,化學工程科三年級,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化学工程系,化學工程系,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化学工程系一年级,化學工程系一年級,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化学工程系三年级,化學工程系三年級,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化学工程系二年级,化學工程系二年級,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化工,化工,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化工学,化工學,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化工学系,化工學系,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化工学院,化工學院,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化工专修科,化工專修科,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化工专修科 工业分析专业,化工專修科 工業分析專業,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化工专修科系  工业分析专业,化工專修科系  工業分析專業,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化工工程学系,化工工程學系,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化工干专班,化工幹專班,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化工石油组,化工石油組,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化工系,化工系,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化工系一年级,化工系一年級,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
化工系专修科,化工系專修科,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工 化学工程 一年,工 化學工程 一年,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工 化工系 一年,工 化工系 一年,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工 化工系 乙,工 化工系 乙,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工_化学工程,工_化學工程,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学系化学工程,工學系化學工程,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院化学工程学系,工學院化學工程學系,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院化学工程学系一年级,工學院化學工程學系一年級,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院化学工程系,工學院化學工程系,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院化工学系,工學院化工學系,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院化工学系一年级,工學院化工學系一年級,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院化工学系三年级,工學院化工學系三年級,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院化工学系二年级,工學院化工學系二年級,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院化工系,工學院化工系,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院机化学工程学系一年级,工學院機化學工程學系一年級,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工院化工,工院化工,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
理学院化学工程,理學院化學工程,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
理学院化学工程学系,理學院化學工程學系,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
理学院化学工程系,理學院化學工程系,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
理学院化学工程系转数学系,理學院化學工程系轉數學系,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
理学院化学工程系转文学院哲学心理教育系心理组转文学院教育系,理學院化學工程系轉文學院哲學心理教育系心理組轉文學院教育系,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
理学院化学工程系转理学院化学系,理學院化學工程系轉理學院化學系,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
理学院化学工程系转电机工程系转数学系,理學院化學工程系轉電機工程系轉數學系,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
理学院化工系,理學院化工系,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
理学院化工院,理學院化工院,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
理学院工化系,理學院工化系,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
理学院电机工程系转理学院化学工程系,理學院電機工程系轉理學院化學工程系,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
理学院电机系化学工程辅系,理學院電機系化學工程輔系,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
华工,華工,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
农学院农业工程组转理学院化学工程系,農學院農業工程組轉理學院化學工程系,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
电机化学工程,電機化學工程,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
电机工程系（转到化学工程系）,電機工程系（轉到化學工程系）,Chemical Engineering,化學工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
优师范科 农化,優師範科 農化,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化,化,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化学,化學,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
"化学
化学类研究生","化學
化學類研究生",Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
"化学
史学","化學
史學",Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
"化学
国文","化學
國文",Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
"化学
地质","化學
地質",Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
"化学
教育","化學
教育",Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
"化学
数学","化學
數學",Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
"化学
法律","化學
法律",Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
"化学
物理","化學
物理",Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化学 一年,化學 一年,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化学（转土木）,化學（轉土木）,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化学主系,化學主系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化学主系：教育副系,化學主系：教育副系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化学主系教育副系,化學主系教育副系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化学主系物理副系,化學主系物理副系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化学学系,化學學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化学专修,化學專修,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化学干专班,化學幹專班,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化学研究部,化學研究部,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化学科,化學科,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化学科，3年级,化學科，3年級,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化学系,化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化学系，2年级,化學系，2年級,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化学系有机组,化學系有機組,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化学系物化组,化學系物化組,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化学系研究所,化學系研究所,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化学院,化學院,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化学类研究生,化學類研究生,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
"化学类研究生
（助教兼）","化學類研究生
（助教兼）",Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
化专,化專,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
工学院化学系,工學院化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
工业化学,工業化學,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
师专学院理化组学系一年级,師專學院理化組學系一年級,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
师范学院理化学系,師範學院理化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
应化,應化,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
应化‘’,應化‘’,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
应用化学,應用化學,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
文学院化学系,文學院化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
文理学院化学系,文理學院化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
"暂不入系
化学","暫不入系
化學",Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
"法预
哲学（选）
化学","法預
哲學（選）
化學",Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
无机设计,無機設計,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
燃料,燃料,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
物理主系数学化学副系,物理主系數學化學副系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理  化学,理  化學,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理 化,理 化,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理 化学,理 化學,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理_化学,理_化學,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理，化学,理，化學,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理化,理化,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理化学,理化學,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理化学系,理化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理化专修科,理化專修科,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理化系,理化系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理化组,理化組,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理学系化学,理學系化學,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理学系化学系,理學系化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理学院化学,理學院化學,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理学院化学学系,理學院化學學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理学院化学学系一年级,理學院化學學系一年級,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理学院化学研究所,理學院化學研究所,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理学院化学研究部,理學院化學研究部,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理学院化学系,理學院化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理学院化学系一年级,理學院化學系一年級,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理学院化学系二年级,理學院化學系二年級,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理学院化学系研究所,理學院化學系研究所,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理学院化学系转理学院化学工程系,理學院化學系轉理學院化學工程系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理学院化学系转理学院化工系,理學院化學系轉理學院化工系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理学院化学系转农学院农业工程系,理學院化學系轉農學院農業工程系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理学院化工系转理学院化学系,理學院化工系轉理學院化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理学院工业化学,理學院工業化學,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理学院工业化学系,理學院工業化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理学院物理系后传化学系,理學院物理系後傳化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理学院药学系,理學院藥學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理学院药物学系,理學院藥物學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理工，化学,理工，化學,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理工，化学系,理工，化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理工学院化学系,理工學院化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
"理本
化学","理本
化學",Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理本化学,理本化學,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理科化学，1年级,理科化學，1年級,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理科化学系,理科化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理科研究所化学部,理科研究所化學部,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理论化学,理論化學,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理院化学系,理院化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
"理预
化学","理預
化學",Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
"理预
化学
哲学","理預
化學
哲學",Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
"理预
化学
英文","理預
化學
英文",Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理预 化学,理預 化學,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
理预化学,理預化學,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
生理化学,生理化學,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
研究院化学研究所,研究院化學研究所,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
研究院化学系,研究院化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
管学系化学,管學系化學,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
联大化学系,聯大化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
自然科化学系,自然科化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
农_农化,農_農化,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
农化学系,農化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
农学系农业化学系,農學系農業化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
农学院化学系,農學院化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
农学院农化学系,農學院農化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
农学院农林化学系,農學院農林化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
农学院农业化学系,農學院農業化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
农学院农艺系，后转入理学院化学系,農學院農藝系，後轉入理學院化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
农业化学系,農業化學系,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
预科二 化学,預科二 化學,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
预科二 理本化学,預科二 理本化學,Chemistry,化學,Physical Sciences,物理科學,Science,科學,PSC,,,,
中国经典,中國經典,Chinese classics,中國經典,Humanities,科舉,Humanities and Social Sciences,人文社會科學,HUM,,,,
土,土,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土一 上,土一 上,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土一 下,土一 下,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土工,土工,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木,土木,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木 一年,土木 一年,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木学,土木學,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木学系,土木學系,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木学院,土木學院,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木专修,土木專修,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木专修科,土木專修科,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木专修科 工业与民用建筑专业,土木專修科 工業與民用建築專業,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木专修科 工程测量专业,土木專修科 工程測量專業,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木专修科 建筑专业,土木專修科 建築專業,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木专修科系 工程测量专业,土木專修科系 工程測量專業,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木专修科系 建筑专业,土木專修科系 建築專業,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木工科,土木工科,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木工程,土木工程,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木工程 一年,土木工程 一年,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木工程学,土木工程學,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木工程学系,土木工程學系,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木工程学系  工业与民用建筑专业,土木工程學系  工業與民用建築專業,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木工程学系 土木工程专业,土木工程學系 土木工程專業,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木工程学系 工业与民用建筑专业,土木工程學系 工業與民用建築專業,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木工程学系 工业与民用建筑钱路建筑专业,土木工程學系 工業與民用建築錢路建築專業,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木工程学系建筑专业,土木工程學系建築專業,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木工程学院,土木工程學院,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木工程科,土木工程科,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木工程系,土木工程系,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木工程部,土木工程部,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木建筑,土木建築,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木建筑系,土木建築系,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土一 下,土木水利,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木科,土木科,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木科转电机科,土木科轉電機科,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木系,土木系,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木系路工组,土木系路工組,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木结构,土木結構,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
土木门,土木門,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学系,工學系,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学系土木,工學系土木,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学系土木学系,工學系土木學系,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学系土木工程,工學系土木工程,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院土木学系,工學院土木學系,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院土木学系一年级,工學院土木學系一年級,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院土木学系二年级,工學院土木學系二年級,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院土木学系四年级,工學院土木學系四年級,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院土木专修学系一年级,工學院土木專修學系一年級,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院土木工程,工學院土木工程,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院土木工程学系,工學院土木工程學系,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院土木工程学系一年级,工學院土木工程學系一年級,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院土木工程专修科一年级,工學院土木工程專修科一年級,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院土木工程系,工學院土木工程系,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院土木工程系二年级,工學院土木工程系二年級,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院土木工程系市鎭组,工學院土木工程系市鎭組,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院土木系,工學院土木系,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院工学系,工學院工學系,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院建工系,工學院建工系,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院建筑工程系,工學院建築工程系,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工学院建筑系,工學院建築系,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工本土木,工本土木,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
工院土木系,工院土木系,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
建工,建工,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
,建筑工程,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
建筑工程,建築工程,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
建筑工程 一年,建築工程 一年,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
建筑工程学系,建築工程學系,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
染织科转土木科,染織科轉土木科,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
测量,測量,Civil Engineering,土木工程,Engineering Sciences,工程科學,Engineering,工程,ENG,,,,
